quarter_key,year,quarter,region_ar,city,property_type,rental_contracts,avg_rent,property_category_ar
2022Q4,2022,4,الباحة,Al Bahah,Commercial,21,506.334519,مكتب - تجاري
2023Q1,2023,1,الباحة,Al Bahah,Residential,54,16714.634146,استديو - سكني
2023Q1,2023,1,الباحة,Al Bahah,Residential,21,16220.0,دور - سكني
2023Q1,2023,1,الباحة,Al Bahah,Residential,1533,12962.110994,شقة - سكني
2023Q1,2023,1,الباحة,Al Bahah,Residential,12,31750.0,فيلا - سكني
2023Q1,2023,1,الباحة,Al Bahah,Commercial,275,544.664922,محل - تجاري
2023Q1,2023,1,الباحة,Al Bahah,Commercial,18,1374.628997,معرض تجاري - تجاري
2023Q1,2023,1,الباحة,Al Bahah,Commercial,13,370.217124,مكتب - تجاري
2023Q2,2023,2,الباحة,Al Bahah,Residential,70,7849.056603,استديو - سكني
2023Q2,2023,2,الباحة,Al Bahah,Residential,20,16666.666666,دور - سكني
2023Q2,2023,2,الباحة,Al Bahah,Residential,1553,12685.361457,شقة - سكني
2023Q2,2023,2,الباحة,Al Bahah,Residential,3,82750.0,فيلا - سكني
2023Q2,2023,2,الباحة,Al Bahah,Commercial,311,484.760967,محل - تجاري
2023Q2,2023,2,الباحة,Al Bahah,Commercial,33,1656.119702,معرض تجاري - تجاري
2023Q2,2023,2,الباحة,Al Bahah,Commercial,13,280.685974,مكتب - تجاري
2023Q3,2023,3,الباحة,Al Bahah,Residential,102,11208.783783,استديو - سكني
2023Q3,2023,3,الباحة,Al Bahah,Residential,66,18362.705882,دور - سكني
2023Q3,2023,3,الباحة,Al Bahah,Residential,1971,13587.706408,شقة - سكني
2023Q3,2023,3,الباحة,Al Bahah,Residential,3,43333.333333,فيلا - سكني
2023Q3,2023,3,الباحة,Al Bahah,Commercial,392,569.557403,محل - تجاري
2023Q3,2023,3,الباحة,Al Bahah,Commercial,18,924.103682,معرض تجاري - تجاري
2023Q3,2023,3,الباحة,Al Bahah,Commercial,18,407.076918,مكتب - تجاري
2023Q4,2023,4,الباحة,Al Bahah,Residential,73,11028.358208,استديو - سكني
