quarter_key,year,quarter,region_ar,city,property_type,sales_transactions,market_value,avg_price_m2,rental_contracts,avg_rent,region,population,avg_income,inflation_rate,repo_rate
2021Q1,2021,1,منطقة مكة المكرمة,Jeddah,Residential,,,,48324.0,20504.482516869462,Makkah,3751722,10141.0,3.06,1.0
2021Q1,2021,1,منطقة مكة المكرمة,Makkah,Commercial,,,,1795.0,1429.7974777064069,Makkah,2427924,10141.0,3.06,1.0
2021Q1,2021,1,منطقة مكة المكرمة,Makkah,Residential,,,,8848.0,16285.090956040913,Makkah,2427924,10141.0,3.06,1.0
2021Q1,2021,1,منطقة الباحة,Al Bahah,Residential,7.0,3087506.0,2280.597391,,,Al Bahah,90515,11348.0,3.06,1.0
2021Q1,2021,1,منطقة الرياض,Riyadh,Commercial,1574.0,9094937875.63,1980.5139554070736,,,Riyadh,7009120,14990.0,3.06,1.0
2021Q1,2021,1,منطقة الرياض,Riyadh,Residential,21593.0,21732146819.44,2377.0868582401404,,,Riyadh,7009120,14990.0,3.06,1.0
2021Q1,2021,1,منطقة القصيم,Buraidah,Residential,38.0,21636159.0,2201.533255891892,,,Al Qassim,677647,10081.0,3.06,1.0
2021Q1,2021,1,منطقة المدينة المنورة,Madinah,Commercial,109.0,114482533.81,1207.031278,,,Madinah,1477047,9723.0,3.06,1.0
2021Q1,2021,1,منطقة المدينة المنورة,Madinah,Residential,731.0,537133706.62,1657.8153183343377,,,Madinah,1477047,9723.0,3.06,1.0
2021Q1,2021,1,منطقة تبوك,Tabuk,Commercial,708.0,349479845.94,537.2630290000001,,,Tabuk,623665,11127.0,3.06,1.0
2021Q1,2021,1,منطقة تبوك,Tabuk,Residential,1323.0,585953066.4399999,921.3939435872755,,,Tabuk,623665,11127.0,3.06,1.0
2021Q1,2021,1,منطقة جازان,Jazan,Commercial,59.0,33122295.0,601.0869234615385,,,Jazan,200911,10763.0,3.06,1.0
2021Q1,2021,1,منطقة جازان,Jazan,Residential,606.0,320573474.92,1183.8782632431974,,,Jazan,200911,10763.0,3.06,1.0
2021Q1,2021,1,منطقة حائل,Hail,Commercial,1.0,265000.0,,,,Hail,498575,9269.0,3.06,1.0
2021Q1,2021,1,منطقة حائل,Hail,Residential,3.0,2954706.0,,,,Hail,498575,9269.0,3.06,1.0
2021Q1,2021,1,منطقة عسير,Abha,Residential,5.0,3456448.0,,,,Aseer,422243,11264.0,3.06,1.0
2021Q1,2021,1,منطقة مكة المكرمة,Jeddah,Commercial,1142.0,3572708262.82,1604.0951261661892,,,Makkah,3751722,10141.0,3.06,1.0
2021Q1,2021,1,منطقة مكة المكرمة,Jeddah,Residential,10214.0,9413960491.23,2411.688151253632,,,Makkah,3751722,10141.0,3.06,1.0
2021Q1,2021,1,منطقة مكة المكرمة,Makkah,Commercial,24.0,42367011.0,1285.918538,,,Makkah,2427924,10141.0,3.06,1.0
2021Q1,2021,1,منطقة مكة المكرمة,Makkah,Residential,434.0,566705905.99,6103.997843592689,,,Makkah,2427924,10141.0,3.06,1.0
2021Q1,2021,1,منطقة نجران,Najran,Commercial,,,,437.0,487.9891523249428,Najran,421902,7969.0,3.06,1.0
2021Q1,2021,1,منطقة نجران,Najran,Residential,,,,1333.0,15077.388836462114,Najran,421902,7969.0,3.06,1.0
2021Q2,2021,2,منطقة الباحة,Al Bahah,Commercial,,,,76.0,541.0815815000001,Al Bahah,90515,11348.0,3.06,1.0
2021Q2,2021,2,منطقة الباحة,Al Bahah,Residential,,,,303.0,15475.582212118814,Al Bahah,90515,11348.0,3.06,1.0
2021Q2,2021,2,منطقة الجوف,Sakaka,Commercial,,,,179.0,346.4121016256983,Al Jouf,236669,10686.0,3.06,1.0
